gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
SYT17,51760,layer 5,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 5,+++,"layer 2/3,5/6",ubiquitous(5)
SYT17,51760,layer 5,+++,"layer 2/3,5/6",ubiquitous(5)
SYT2,127833,layer 3,+++++,"layer 2,3,4+scattered(5)",layer 3(5)
SYT2,127833,layer 3,+++++,"layer 2,3,4+scattered(5)",layer 3(5)
SYT2,127833,layer 5,+++++,"layer 2,3,4+scattered(5)",layer 3(5)
SYT2,127833,layer 5,+++++,"layer 2,3,4+scattered(5)",layer 3(5)
SYT3,84258,NA,++,ubiquitous,ubiquitous
SYT4,6860,NA,++++,"layer(2/3,4C),6","ubiquitous(3,5/6)"
SYT5,6861,NA,++++,"layer(2/3,4C),6",ubiquitous
SYT6,148281,layer 6,+++++,layer 6,layer 6
SYT7,9066,NA,+++++,"ubiquitous(2/3,4C,5/6)",ubiquitous
SYT9,143425,NA,-,none,none
SYTL1,84958,NA,+,ubiquitous,ubiquitous
SYTL2,54843,NA,++,"layer 2/3,4C,5/6",ubiquitous
SYTL4,94121,NA,+,sparse to none,sparse to none
TAAR6,319100,NA,-,none,none
TAC1,6863,interneuron,++++,scattered,scattered
TAC3,6866,interneuron,++++,scattered,scattered
TACR1,6869,NA,++++,scattered,scattered
TACR2,6865,NA,-,none,none
TACR3,6870,NA,-,none,none
TAP1,6890,NA,+,sparse to none,sparse to none
TAP2,6891,NA,+++,scattered+ubiquitous,scattered+ubiquitous
TDO2,6999,NA,-,none,none
TF,7018,NA,+++++,ubiquitous+oligodendrocyte,ubiquitous+oligodendrocyte
TGFB1,7040,NA,++++,ubiquitous,ubiquitous
TH,7054,interneuron,+++++,sparse(6),sparse(6)
TH,7054,interneuron,+++++,sparse(6),sparse(6)
TH,7054,layer 6,+++++,sparse(6),sparse(6)
TH,7054,layer 6,+++++,sparse(6),sparse(6)
THBS2,7058,NA,+++,scattered,scattered
THSD7B,80731,NA,+++,sparse,sparse
TIAM1,7074,NA,+++,"ubiquitous(2/3,4)","ubiquitous(2/3,4)"
NKX2-1,7080,NA,+,sparse to none,sparse to none
TLE4,7091,layer 6,++++,layer 6,layer 6
TM6SF1,53346,NA,++,scattered,scattered
TMEM145,284339,NA,++++,ubiquitous,ubiquitous
TMEM150C,441027,NA,+,ubiquitous,ubiquitous
TMEM163,81615,layer 3,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 3,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 3,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 5,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 5,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 5,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 6,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 6,++,"layer(2/3),5/6","layer 3,5,6"
TMEM163,81615,layer 6,++,"layer(2/3),5/6","layer 3,5,6"
TMEM200A,114801,NA,+,ubiquitous,ubiquitous
TMEM215,401498,layer 4,+++,layer 4C,sparse to none
TNF,7124,NA,+,ubiquitous,ubiquitous
TNFAIP8L3,388121,interneuron,+++,sparse+layer 4C,sparse
TNMD,64102,NA,-,none,none
TNNC1,7134,NA,-,none,none
TNNT1,7138,NA,+++,scattered+ubiquitous,scattered+ubiquitous
TOX,9760,layer 5,++,"layer 4C,5/6","layer 4,5,6"
TOX,9760,layer 5,++,"layer 4C,5/6","layer 4,5,6"
TOX,9760,layer 6,++,"layer 4C,5/6","layer 4,5,6"
TOX,9760,layer 6,++,"layer 4C,5/6","layer 4,5,6"
TPBG,7162,layer 3,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 3,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 3,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 5,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 5,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 5,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 6,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 6,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPBG,7162,layer 6,+++,"layer 2/3,5/6","layer 3,(4,6)"
TPH1,7166,NA,-,none,none
TPH2,121278,NA,-,none,none
TRH,7200,NA,+++,ubiquitous,ubiquitous
TRHR,7201,NA,+,ubiquitous,ubiquitous
TRIB2,28951,layer 5,++++,"ubiquitous(4C,5)","ubiquitous(4,5)"
TRPC4,7223,NA,++,scattered,scattered
TRPC6,7225,NA,++,scattered(5/6),"scattered(5,6)"
TRPM6,140803,NA,+,sparse to none,sparse to none
TSC1,7248,NA,+++,ubiquitous,ubiquitous
TSC2,7249,NA,++++,ubiquitous,ubiquitous
TSPAN8,7103,NA,-,none,none
TTR,7276,NA,++,ubiquitous,ubiquitous
TUT1,64852,NA,+++,scattered+ubiquitous,scattered+ubiquitous
UBASH3B,84959,interneuron,+++,scattered,scattered
UBE3A,7337,NA,+++,ubiquitous,ubiquitous
UCHL1,7345,NA,+++++,ubiquitous,ubiquitous
USP10,9100,NA,++,ubiquitous,ubiquitous
VAMP1,6843,NA,+++++,scattered+ubiquitous,scattered(3)+ubiquitous
VAMP2,6844,NA,++++,ubiquitous,ubiquitous
VAMP3,9341,NA,+,sparse to none,sparse to none
VAMP4,8674,NA,+,ubiquitous,ubiquitous
VAMP8,8673,NA,+,sparse to none,sparse to none
VAPA,9218,NA,++,ubiquitous,ubiquitous
VAT1L,57687,layer 5,+++++,sparse(5),sparse(5)
VIP,7432,interneuron,++++,scattered,scattered
VIPR1,7433,NA,++++,"layer (2/3,4C),6",ubiquitous
VIPR2,7434,NA,+++,"layer 3,4(4C)",layer 3
VLDLR,7436,NA,+++,scattered+ubiquitous,scattered+ubiquitous
VRK3,51231,NA,+++,scattered+ubiquitous,scattered+ubiquitous
WFS1,7466,layer 2,+++,scattered(2),scattered(2)
WNK1,65125,NA,+++,scattered+ubiquitous,scattered+ubiquitous
WNT2,7472,NA,+,ubiquitous,ubiquitous
XBP1,7494,NA,++,ubiquitous,ubiquitous
YJEFN3,374887,interneuron,+++++,sparse+scattered,sparse+scattered
ZDHHC15,158866,NA,+,ubiquitous,ubiquitous
ZEB2,9839,NA,+++,scattered,scattered
ZNF197,10168,NA,++,ubiquitous,ubiquitous
ZNF41,7592,NA,+++,scattered+ubiquitous,scattered+ubiquitous
ZNF674,641339,NA,+,ubiquitous,ubiquitous
ZNRF4,148066,NA,-,none,none
