gene_symbol,entrez_id,marker_annotation,expression_level,V1_pattern,V2_pattern
CASP7,840,NA,-,none,none
CASP8,841,NA,+,ubiquitous,ubiquitous
CBLN2,147381,layer 2,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 2,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 2,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 3,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 3,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 3,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 6,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 6,++++,"layer 2/3,(5)/6","layer 2/3,6"
CBLN2,147381,layer 6,++++,"layer 2/3,(5)/6","layer 2/3,6"
CC2D1A,54862,NA,+++++,ubiquitous,ubiquitous
CCDC141,285025,NA,-,none,none
CCK,885,layer 2,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 2,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 2,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 2,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 3,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 3,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 3,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 3,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 5,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 5,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 5,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 5,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 6,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 6,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 6,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCK,885,layer 6,+++++,"layer 1,2/3,5/6","layer 1,2/3,5,6"
CCKAR,886,NA,+++,scattered,scattered
CCKBR,887,NA,++,ubiquitous,ubiquitous
CDH13,1012,interneuron,+++++,scattered,scattered
CDH13,1012,interneuron,+++++,scattered,scattered
CDH13,1012,layer 2,+++++,scattered,scattered
CDH13,1012,layer 2,+++++,scattered,scattered
CDH24,64403,layer 6,++++,layer 6,layer 6
CDH7,1005,interneuron,+++,scattered,scattered
CDK5,1020,NA,+++,scattered+ubiquitous,scattered+ubiquitous
CDK5R1,8851,NA,++++,"ubiquitous(2/3,5/6)","ubiquitous(2/3,5,6)"
CDK5R2,8941,NA,++++,ubiquitous,ubiquitous
CDK5RAP1,51654,NA,+++,ubiquitous,ubiquitous
CDK5RAP2,55755,NA,+++,scattered,scattered
CDK5RAP3,80279,NA,+++++,ubiquitous,ubiquitous
CDKL5,6792,NA,+++,"ubiquitous(2/3,4C,5/6)",ubiquitous
CENPJ,55835,NA,+++,scattered+ubiquitous,scattered+ubiquitous
CEP290,80184,NA,++,ubiquitous,ubiquitous
CERK,64781,interneuron,+++++,scattered+ubiquitous,scattered+ubiquitous
CFC1,55997,NA,++++,ubiquitous,ubiquitous
CFTR,1080,NA,+,ubiquitous,ubiquitous
CHEK1,1111,NA,-,none,none
CHRM1,1128,NA,+++,ubiquitous,ubiquitous
CHRM2,1129,NA,++++,"layer 4C,(5/6)",scattered(5/6)
CHRM3,1131,NA,+++,"layer 2/3,4C,5/6","layer 2/3,5,6"
CHRM4,1132,NA,++++,ubiquitous,ubiquitous
CHRM5,1133,NA,+,ubiquitous,ubiquitous
CHRNA10,57053,NA,-,none,none
CHRNA3,1136,layer 4,+++,layer 4C,sparse to none
CHRNA4,1137,NA,+++,"ubiquitous(5,6)",ubiquitous
CHRNA5,1138,NA,++,sparse,sparse
CHRNA6,8973,NA,+,sparse to none,ubiquitous
CHRNA7,1139,interneuron,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,interneuron,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,interneuron,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 1,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 1,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 1,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 2,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 2,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA7,1139,layer 2,+++,sparse(1)+layer 2/3,sparse(1)+layer 2/3
CHRNA9,55584,NA,-,none,none
CHRNB2,1141,NA,++,ubiquitous,ubiquitous
CHRNB3,1142,NA,++,sparse,sparse
CHRNB4,1143,NA,++,ubiquitous,ubiquitous
CHRND,1144,NA,-,none,none
CHRNE,1145,NA,-,none,none
CHRNG,1146,NA,-,none,none
CIT,11113,NA,++++,ubiquitous,ubiquitous
CLCA1,1179,NA,-,none,none
CLCA2,9635,NA,-,none,none
CLCA3P,9629,NA,-,none,none
